"project","pair_id","expected_type","expected_scope","view","top_k","method_top_k","method_count","avg_exhaustive_similarity","avg_constrained_similarity","avg_similarity_delta","max_exhaustive_similarity","max_constrained_similarity","max_non_constructor_constrained_similarity","best_left_method","best_right_method","best_non_constructor_left_method","best_non_constructor_right_method","avg_candidate_reduction","total_exhaustive_candidate_pairs","total_constrained_candidate_pairs","runtime_ms","status","error","transformation_tag","difficulty","limitation_tag","notes"
"T2","java_t2_rename_01","T2","FULL","DISCOVRE_NUMERIC","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","RenameVariant.<init>()V","RenameBase.weightedTotal([I)I","RenameVariant.computeAmount([I)I","0.057142857142857134","61","58","1522","success","","RENAMING","L1","","Class method and variable names differ"
"T2","java_t2_rename_01","T2","FULL","RAW_HASH_BUCKET","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","RenameVariant.<init>()V","RenameBase.weightedTotal([I)I","RenameVariant.computeAmount([I)I","0.19642857142857145","61","41","1426","success","","RENAMING","L1","","Class method and variable names differ"
"T2","java_t2_rename_01","T2","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","RenameVariant.<init>()V","RenameBase.weightedTotal([I)I","RenameVariant.computeAmount([I)I","0.1892857142857143","61","42","1616","success","","RENAMING","L1","","Class method and variable names differ"
"T2","java_t2_rename_02","T2","FULL","DISCOVRE_NUMERIC","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","AmountCalculator.<init>()V","RenameBase.weightedTotal([I)I","AmountCalculator.weightedTotal([I)I","0.057142857142857134","61","58","1973","success","","RENAMING","L1","","Loop variable names differ"
"T2","java_t2_rename_02","T2","FULL","RAW_HASH_BUCKET","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","AmountCalculator.<init>()V","RenameBase.weightedTotal([I)I","AmountCalculator.weightedTotal([I)I","0.19642857142857145","61","41","1533","success","","RENAMING","L1","","Loop variable names differ"
"T2","java_t2_rename_02","T2","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","AmountCalculator.<init>()V","RenameBase.weightedTotal([I)I","AmountCalculator.weightedTotal([I)I","0.1892857142857143","61","42","1941","success","","RENAMING","L1","","Loop variable names differ"
"T2","java_t2_rename_03","T2","FULL","DISCOVRE_NUMERIC","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","RenameBase.<init>()V","RenameBase.weightedTotal([I)I","RenameBase.weightedTotal([I)I","0.057142857142857134","61","58","2105","success","","RENAMING","L1","","Local variable names differ"
"T2","java_t2_rename_03","T2","FULL","RAW_HASH_BUCKET","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","RenameBase.<init>()V","RenameBase.weightedTotal([I)I","RenameBase.weightedTotal([I)I","0.19642857142857145","61","41","1732","success","","RENAMING","L1","","Local variable names differ"
"T2","java_t2_rename_03","T2","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","RenameBase.<init>()V","RenameBase.weightedTotal([I)I","RenameBase.weightedTotal([I)I","0.1892857142857143","61","42","1733","success","","RENAMING","L1","","Local variable names differ"
"T2","java_t2_rename_04","T2","FULL","DISCOVRE_NUMERIC","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","PaymentRules.<init>()V","RenameBase.weightedTotal([I)I","PaymentRules.calculateWeightedSum([I)I","0.057142857142857134","61","58","1594","success","","RENAMING","L1","","Class and method names differ"
"T2","java_t2_rename_04","T2","FULL","RAW_HASH_BUCKET","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","PaymentRules.<init>()V","RenameBase.weightedTotal([I)I","PaymentRules.calculateWeightedSum([I)I","0.19642857142857145","61","41","1598","success","","RENAMING","L1","","Class and method names differ"
"T2","java_t2_rename_04","T2","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","PaymentRules.<init>()V","RenameBase.weightedTotal([I)I","PaymentRules.calculateWeightedSum([I)I","0.1892857142857143","61","42","1632","success","","RENAMING","L1","","Class and method names differ"
"T2","java_t2_rename_05","T2","FULL","DISCOVRE_NUMERIC","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","RenameLiteralVariant.<init>()V","RenameBase.weightedTotal([I)I","RenameLiteralVariant.computeAmount([I)I","0.057142857142857134","61","58","1658","success","","RENAMING","L2","THRESHOLDS_HEURISTIC","Threshold literal changes from 10 to 12"
"T2","java_t2_rename_05","T2","FULL","RAW_HASH_BUCKET","8","2","4","0.6363636363636364","0.6363636363636364","0.0","1.0","1.0","1.0","RenameBase.<init>()V","RenameLiteralVariant.<init>()V","RenameBase.weightedTotal([I)I","RenameLiteralVariant.computeAmount([I)I","0.19642857142857145","61","41","1674","success","","RENAMING","L2","THRESHOLDS_HEURISTIC","Threshold literal changes from 10 to 12"
