type,n,recall@5,recall@10,recall@15,recall@20,recall@25,recall@30,recall@35,recall@40,recall@45,recall@50,recall@55,recall@60,recall@65,recall@70,recall@75,recall@80,recall@85,recall@90,recall@95
T1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
T2,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
T3_strong,75,1.0000,1.0000,1.0000,1.0000,1.0000,0.9200,0.9200,0.8933,0.8533,0.8533,0.6933,0.6133,0.5867,0.5467,0.5067,0.3733,0.2933,0.1200,0.0000
T3_medium,7,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8571,0.8571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
T3_weak,6,1.0000,1.0000,1.0000,0.8333,0.6667,0.5000,0.1667,0.1667,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
non-clone,150,0.9533,0.7867,0.5000,0.3000,0.1400,0.0667,0.0533,0.0333,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267
